id,n_ccr_downloaded,n_ccr_missing
CA0103040,4,0
CA0103041,2,2
CA0105008,3,1
CA0105020,3,1
CA0110001,3,1
CA0110003,4,0
CA0110005,4,0
CA0110006,3,1
CA0110008,4,0
CA0110009,4,0
CA0110011,3,1
CA0110012,4,0
CA0110016,3,1
CA0202501,2,2
CA0202503,4,0
CA0202504,4,0
CA0202522,2,2
CA0202599,2,2
CA0210001,4,0
CA0210002,4,0
CA0300011,3,1
CA0300016,2,2
CA0300019,1,3
CA0300024,4,0
CA0300037,3,1
CA0300053,4,0
CA0300062,3,1
CA0300078,1,3
CA0300448,3,1
CA0301038,4,0
CA0310001,4,0
CA0310002,4,0
CA0310003,4,0
CA0310004,4,0
CA0310005,3,1
CA0310006,4,0
CA0310008,4,0
CA0310011,2,2
CA0310012,4,0
CA0310018,2,2
CA0310019,4,0
CA0310021,4,0
CA0400001,3,1
CA0400004,1,3
CA0400007,1,3
CA0400008,1,3
CA0400012,4,0
CA0400013,2,2
CA0400016,1,3
CA0400019,3,1
CA0400023,3,1
CA0400040,3,1
CA0400062,2,2
CA0400067,3,1
CA0400068,1,3
CA0400070,2,2
CA0400091,4,0
CA0400123,2,2
CA0400149,2,2
CA0400150,3,1
CA0400151,1,3
CA0400154,1,3
CA0400161,4,0
CA0400162,1,3
CA0405001,4,0
CA0405003,2,2
CA0409181,1,3
CA0410001,4,0
CA0410002,4,0
CA0410003,2,2
CA0410004,2,2
CA0410005,4,0
CA0410006,4,0
CA0410007,4,0
CA0410008,3,1
CA0410009,4,0
CA0410011,4,0
CA0410012,4,0
CA0410018,4,0
CA0500019,3,1
CA0500027,1,3
CA0500068,4,0
CA0500095,1,3
CA0510001,1,3
CA0510002,4,0
CA0510003,2,2
CA0510004,4,0
CA0510005,4,0
CA0510006,4,0
CA0510009,4,0
CA0510010,4,0
CA0510011,3,1
CA0510012,4,0
CA0510016,4,0
CA0510017,4,0
CA0510019,4,0
CA0600005,4,0
CA0600008,4,0
CA0600012,4,0
CA0600013,4,0
CA0600065,4,0
CA0605002,4,0
CA0605004,4,0
CA0605007,4,0
CA0605011,4,0
CA0605012,4,0
CA0610001,4,0
CA0610002,4,0
CA0610003,4,0
CA0610004,4,0
CA0706029,1,3
CA0707501,1,3
CA0707507,2,2
CA0707517,1,3
CA0707523,2,2
CA0707547,2,2
CA0707553,1,3
CA0707569,1,3
CA0707572,2,2
CA0707575,3,1
CA0707577,4,0
CA0707613,4,0
CA0707623,2,2
CA0710001,4,0
CA0710002,4,0
CA0710003,4,0
CA0710004,4,0
CA0710006,3,1
CA0710007,3,1
CA0710008,4,0
CA0710009,4,0
CA0710800,4,0
CA0800532,1,3
CA0800548,1,3
CA0800552,2,2
CA0800555,1,3
CA0800556,1,3
CA0800557,2,2
CA0800605,1,3
CA0800700,3,1
CA0800800,2,2
CA0810001,3,1
CA0810002,2,2
CA0810800,2,2
CA0900102,4,0
CA0900111,4,0
CA0900112,4,0
CA0900210,4,0
CA0900300,4,0
CA0900304,4,0
CA0900308,4,0
CA0900309,4,0
CA0900404,4,0
CA0900410,4,0
CA0900422,4,0
CA0900529,4,0
CA0901217,4,0
CA0910001,4,0
CA0910002,1,3
CA0910003,3,1
CA0910006,3,1
CA0910007,2,2
CA0910012,2,2
CA0910013,2,2
CA0910015,2,2
CA0910017,4,0
CA0910018,4,0
CA0910019,3,1
CA1000004,4,0
CA1000005,4,0
CA1000018,4,0
CA1000019,4,0
CA1000021,4,0
CA1000023,4,0
CA1000039,4,0
CA1000040,4,0
CA1000041,4,0
CA1000042,4,0
CA1000053,4,0
CA1000056,4,0
CA1000057,4,0
CA1000060,4,0
CA1000061,4,0
CA1000063,4,0
CA1000069,4,0
CA1000075,3,1
CA1000078,4,0
CA1000104,4,0
CA1000105,4,0
CA1000111,4,0
CA1000136,4,0
CA1000148,4,0
CA1000176,4,0
CA1000177,4,0
CA1000178,4,0
CA1000180,4,0
CA1000181,4,0
CA1000182,4,0
CA1000184,4,0
CA1000185,4,0
CA1000186,4,0
CA1000187,4,0
CA1000189,4,0
CA1000190,4,0
CA1000192,4,0
CA1000193,4,0
CA1000194,4,0
CA1000196,4,0
CA1000198,4,0
CA1000199,4,0
CA1000200,4,0
CA1000201,4,0
CA1000204,4,0
CA1000206,4,0
CA1000208,4,0
CA1000213,4,0
CA1000214,4,0
CA1000217,4,0
CA1000221,4,0
CA1000229,4,0
CA1000238,4,0
CA1000244,4,0
CA1000247,4,0
CA1000257,4,0
CA1000259,4,0
CA1000260,4,0
CA1000265,4,0
CA1000267,4,0
CA1000277,1,3
CA1000280,4,0
CA1000295,4,0
CA1000298,4,0
CA1000299,4,0
CA1000315,4,0
CA1000316,4,0
CA1000324,4,0
CA1000345,4,0
CA1000359,4,0
CA1000361,4,0
CA1000362,4,0
CA1000366,4,0
CA1000367,4,0
CA1000369,4,0
CA1000377,3,1
CA1000378,4,0
CA1000381,4,0
CA1000383,4,0
CA1000405,4,0
CA1000411,4,0
CA1000416,3,1
CA1000424,4,0
CA1000426,4,0
CA1000430,4,0
CA1000440,4,0
CA1000447,4,0
CA1000459,4,0
CA1000461,4,0
CA1000467,4,0
CA1000468,3,1
CA1000471,4,0
CA1000472,4,0
CA1000473,4,0
CA1000476,4,0
CA1000480,4,0
CA1000484,4,0
CA1000485,4,0
CA1000486,4,0
CA1000490,4,0
CA1000495,2,2
CA1000514,4,0
CA1000517,1,3
CA1000526,4,0
CA1000533,4,0
CA1000534,4,0
CA1000541,4,0
CA1000545,1,3
CA1000546,4,0
CA1000548,4,0
CA1000550,4,0
CA1000551,4,0
CA1000553,2,2
CA1000554,4,0
CA1000555,4,0
CA1000562,4,0
CA1000564,4,0
CA1000565,4,0
CA1000566,4,0
CA1000570,4,0
CA1000575,4,0
CA1000576,4,0
CA1000578,4,0
CA1000580,4,0
CA1000583,4,0
CA1000584,4,0
CA1000585,3,1
CA1000586,3,1
CA1000593,4,0
CA1000602,4,0
CA1000607,4,0
CA1000627,4,0
CA1000639,4,0
CA1000641,4,0
CA1009020,4,0
CA1009023,4,0
CA1009027,4,0
CA1009028,4,0
CA1009039,4,0
CA1009051,4,0
CA1009078,4,0
CA1009111,4,0
CA1009120,4,0
CA1009179,4,0
CA1009214,4,0
CA1009222,4,0
CA1009232,4,0
CA1010001,4,0
CA1010003,4,0
CA1010004,4,0
CA1010005,4,0
CA1010006,4,0
CA1010007,4,0
CA1010013,4,0
CA1010017,4,0
CA1010018,4,0
CA1010019,4,0
CA1010020,4,0
CA1010021,4,0
CA1010023,4,0
CA1010024,4,0
CA1010025,4,0
CA1010026,4,0
CA1010027,4,0
CA1010028,4,0
CA1010029,4,0
CA1010030,4,0
CA1010034,4,0
CA1010035,4,0
CA1010039,4,0
CA1010042,4,0
CA1010044,4,0
CA1010049,4,0
CA1010051,4,0
CA1010052,4,0
CA1010053,4,0
CA1010055,4,0
CA1010057,4,0
CA1010062,4,0
CA1010339,4,0
CA1010501,4,0
CA1010800,4,0
CA1100203,1,3
CA1100237,1,3
CA1100254,3,1
CA1100404,4,0
CA1100413,1,3
CA1100436,1,3
CA1100444,2,2
CA1100445,2,2
CA1100452,4,0
CA1100616,4,0
CA1100711,1,3
CA1110001,2,2
CA1110002,4,0
CA1110003,4,0
CA1200518,3,1
CA1200538,1,3
CA1200541,1,3
CA1200544,1,3
CA1200553,3,1
CA1200566,3,1
CA1200579,1,3
CA1200588,4,0
CA1200590,4,0
CA1200591,4,0
CA1200592,2,2
CA1200637,1,3
CA1200643,4,0
CA1200671,4,0
CA1200684,1,3
CA1200687,4,0
CA1200701,4,0
CA1200706,2,2
CA1200707,2,2
CA1200715,4,0
CA1200718,3,1
CA1200729,3,1
CA1200772,2,2
CA1200778,3,1
CA1200817,2,2
CA1206004,3,1
CA1206012,1,3
CA1210001,4,0
CA1210002,4,0
CA1210004,4,0
CA1210006,4,0
CA1210007,4,0
CA1210009,4,0
CA1210010,3,1
CA1210011,3,1
CA1210012,4,0
CA1210013,4,0
CA1210015,4,0
CA1210016,4,0
CA1210017,4,0
CA1210018,4,0
CA1210019,3,1
CA1210020,4,0
CA1210021,4,0
CA1210022,4,0
CA1210023,1,3
CA1210024,2,2
CA1210800,3,1
CA1210801,3,1
CA1300009,4,0
CA1300018,3,1
CA1300513,2,2
CA1300514,2,2
CA1300517,2,2
CA1300546,3,1
CA1300549,3,1
CA1300550,4,0
CA1300553,2,2
CA1300554,2,2
CA1300555,3,1
CA1300556,2,2
CA1300560,1,3
CA1300571,4,0
CA1300572,2,2
CA1300575,4,0
CA1300579,4,0
CA1300588,3,1
CA1300616,2,2
CA1300620,2,2
CA1300622,2,2
CA1300626,2,2
CA1300628,2,2
CA1300629,3,1
CA1300635,4,0
CA1300637,4,0
CA1300638,4,0
CA1300643,4,0
CA1300644,2,2
CA1300652,3,1
CA1300661,2,2
CA1300664,2,2
CA1300668,2,2
CA1300669,2,2
CA1310001,3,1
CA1310002,4,0
CA1310003,4,0
CA1310004,4,0
CA1310005,4,0
CA1310006,4,0
CA1310007,4,0
CA1310008,4,0
CA1310013,3,1
CA1310700,4,0
CA1310800,4,0
CA1310801,4,0
CA1400002,4,0
CA1400004,3,1
CA1400005,4,0
CA1400006,3,1
CA1400007,3,1
CA1400010,4,0
CA1400019,4,0
CA1400020,3,1
CA1400025,4,0
CA1400026,4,0
CA1400027,3,1
CA1400030,4,0
CA1400031,4,0
CA1400034,4,0
CA1400036,3,1
CA1400037,4,0
CA1400045,4,0
CA1400055,3,1
CA1400056,4,0
CA1400059,3,1
CA1400064,4,0
CA1400066,4,0
CA1400068,4,0
CA1400070,4,0
CA1400072,2,2
CA1400078,4,0
CA1400098,4,0
CA1400099,4,0
CA1400109,4,0
CA1400110,4,0
CA1400111,4,0
CA1400135,4,0
CA1400144,4,0
CA1400155,4,0
CA1400503,4,0
CA1400511,4,0
CA1400518,4,0
CA1400522,4,0
CA1400525,4,0
CA1400526,4,0
CA1400527,4,0
CA1400528,3,1
CA1410001,4,0
CA1410005,3,1
CA1410006,4,0
CA1410007,3,1
CA1410008,4,0
CA1410009,4,0
CA1410502,4,0
CA1410503,4,0
CA1410505,4,0
CA1410800,4,0
CA1500050,4,0
CA1500096,4,0
CA1500152,4,0
CA1500209,4,0
CA1500211,4,0
CA1500216,4,0
CA1500231,4,0
CA1500251,4,0
CA1500252,3,1
CA1500289,3,1
CA1500290,4,0
CA1500296,4,0
CA1500314,4,0
CA1500324,4,0
CA1500327,4,0
CA1500333,4,0
CA1500336,4,0
CA1500340,4,0
CA1500341,4,0
CA1500344,2,2
CA1500349,4,0
CA1500364,4,0
CA1500371,4,0
CA1500374,4,0
CA1500378,4,0
CA1500393,4,0
CA1500398,4,0
CA1500401,4,0
CA1500404,4,0
CA1500405,1,3
CA1500406,4,0
CA1500407,4,0
CA1500409,4,0
CA1500413,4,0
CA1500415,4,0
CA1500424,4,0
CA1500426,4,0
CA1500436,4,0
CA1500443,4,0
CA1500447,4,0
CA1500448,4,0
CA1500449,4,0
CA1500452,4,0
CA1500455,4,0
CA1500458,4,0
CA1500459,4,0
CA1500465,4,0
CA1500466,4,0
CA1500475,4,0
CA1500478,4,0
CA1500481,4,0
CA1500483,4,0
CA1500485,4,0
CA1500489,4,0
CA1500491,4,0
CA1500493,4,0
CA1500494,4,0
CA1500495,4,0
CA1500507,4,0
CA1500516,4,0
CA1500518,4,0
CA1500525,4,0
CA1500535,4,0
CA1500540,4,0
CA1500542,4,0
CA1500543,4,0
CA1500544,4,0
CA1500546,4,0
CA1500550,4,0
CA1500553,4,0
CA1500554,4,0
CA1500555,4,0
CA1500556,4,0
CA1500557,4,0
CA1500560,4,0
CA1500561,4,0
CA1500563,4,0
CA1500564,4,0
CA1500566,3,1
CA1500569,4,0
CA1500571,4,0
CA1500575,4,0
CA1500578,4,0
CA1500579,4,0
CA1500584,4,0
CA1500585,4,0
CA1500588,4,0
CA1500591,4,0
CA1500593,4,0
CA1500597,4,0
CA1500599,4,0
CA1500600,4,0
CA1502012,4,0
CA1502034,4,0
CA1502056,3,1
CA1502066,4,0
CA1502068,4,0
CA1502074,4,0
CA1502133,4,0
CA1502154,4,0
CA1502164,4,0
CA1502232,4,0
CA1502247,4,0
CA1502260,4,0
CA1502315,4,0
CA1502320,4,0
CA1502383,4,0
CA1502449,4,0
CA1502465,4,0
CA1502545,4,0
CA1502564,4,0
CA1502569,4,0
CA1502572,1,3
CA1502595,4,0
CA1502600,4,0
CA1502607,4,0
CA1502608,4,0
CA1502619,4,0
CA1502620,4,0
CA1502622,4,0
CA1502629,4,0
CA1502645,4,0
CA1502653,4,0
CA1502659,4,0
CA1502663,4,0
CA1502670,3,1
CA1502690,4,0
CA1502699,4,0
CA1502717,1,3
CA1502744,4,0
CA1502750,4,0
CA1502753,4,0
CA1503093,4,0
CA1503140,4,0
CA1503182,4,0
CA1503226,4,0
CA1503232,4,0
CA1503243,4,0
CA1503270,4,0
CA1503290,4,0
CA1503329,4,0
CA1503341,4,0
CA1503349,4,0
CA1503360,4,0
CA1503368,4,0
CA1503380,4,0
CA1503384,4,0
CA1503475,4,0
CA1503509,4,0
CA1503515,4,0
CA1503526,4,0
CA1503536,4,0
CA1503645,4,0
CA1503660,4,0
CA1503662,4,0
CA1503664,4,0
CA1503669,4,0
CA1503678,4,0
CA1503682,4,0
CA1503683,4,0
CA1503684,3,1
CA1503685,4,0
CA1503688,4,0
CA1510001,4,0
CA1510002,4,0
CA1510003,4,0
CA1510004,4,0
CA1510005,4,0
CA1510006,4,0
CA1510007,4,0
CA1510009,4,0
CA1510011,4,0
CA1510012,4,0
CA1510013,4,0
CA1510014,4,0
CA1510015,3,1
CA1510016,4,0
CA1510017,4,0
CA1510018,4,0
CA1510019,4,0
CA1510020,4,0
CA1510021,4,0
CA1510022,4,0
CA1510023,4,0
CA1510024,4,0
CA1510025,4,0
CA1510026,4,0
CA1510027,4,0
CA1510028,4,0
CA1510029,4,0
CA1510031,4,0
CA1510032,4,0
CA1510033,4,0
CA1510036,3,1
CA1510038,4,0
CA1510039,4,0
CA1510042,4,0
CA1510043,4,0
CA1510045,4,0
CA1510046,4,0
CA1510049,4,0
CA1510051,4,0
CA1510052,4,0
CA1510054,4,0
CA1510055,4,0
CA1510056,4,0
CA1510701,4,0
CA1510702,4,0
CA1510703,4,0
CA1510800,4,0
CA1510801,4,0
CA1510802,4,0
CA1600002,4,0
CA1600017,4,0
CA1600023,4,0
CA1600249,4,0
CA1600293,2,2
CA1600507,4,0
CA1610001,4,0
CA1610002,4,0
CA1610003,4,0
CA1610004,4,0
CA1610005,4,0
CA1610006,4,0
CA1610007,4,0
CA1610009,4,0
CA1610700,4,0
CA1700502,3,1
CA1700518,2,2
CA1700519,3,1
CA1700527,3,1
CA1700536,2,2
CA1700546,2,2
CA1700549,2,2
CA1700554,3,1
CA1700561,4,0
CA1700568,3,1
CA1700589,4,0
CA1700592,3,1
CA1700595,3,1
CA1700596,2,2
CA1700606,2,2
CA1700610,1,3
CA1700630,1,3
CA1700650,1,3
CA1700674,3,1
CA1700676,1,3
CA1700677,1,3
CA1700702,1,3
CA1700715,1,3
CA1700730,1,3
CA1700733,1,3
CA1710001,1,3
CA1710002,4,0
CA1710003,3,1
CA1710005,4,0
CA1710006,2,2
CA1710007,2,2
CA1710008,2,2
CA1710010,2,2
CA1710011,1,3
CA1710012,2,2
CA1710013,1,3
CA1710015,2,2
CA1710016,1,3
CA1710018,3,1
CA1710021,4,0
CA1710022,4,0
CA1800202,1,3
CA1800503,3,1
CA1800511,1,3
CA1800512,2,2
CA1800529,1,3
CA1800534,2,2
CA1800573,2,2
CA1800576,1,3
CA1800577,1,3
CA1800585,1,3
CA1805004,4,0
CA1805007,4,0
CA1810001,1,3
CA1810002,2,2
CA1810003,1,3
CA1810004,3,1
CA1810700,2,2
CA1810801,2,2
CA1900007,3,1
CA1900038,4,0
CA1900046,4,0
CA1900055,4,0
CA1900062,4,0
CA1900074,3,1
CA1900075,4,0
CA1900100,4,0
CA1900102,4,0
CA1900130,4,0
CA1900145,3,1
CA1900146,4,0
CA1900154,4,0
CA1900155,4,0
CA1900158,3,1
CA1900301,4,0
CA1900303,4,0
CA1900520,4,0
CA1900523,4,0
CA1900529,4,0
CA1900537,4,0
CA1900541,4,0
CA1900542,4,0
CA1900555,4,0
CA1900563,4,0
CA1900599,4,0
CA1900616,4,0
CA1900636,4,0
CA1900649,4,0
CA1900693,4,0
CA1900717,4,0
CA1900721,4,0
CA1900741,4,0
CA1900767,4,0
CA1900785,3,1
CA1900794,4,0
CA1900801,4,0
CA1900803,4,0
CA1900804,4,0
CA1900808,3,1
CA1900809,4,0
CA1900817,4,0
CA1900843,4,0
CA1900849,4,0
CA1900868,4,0
CA1900901,4,0
CA1900903,4,0
CA1900907,4,0
CA1900913,4,0
CA1900936,4,0
CA1900942,3,1
CA1900961,3,1
CA1900975,4,0
CA1900976,4,0
CA1907014,4,0
CA1907028,4,0
CA1909006,4,0
CA1910001,4,0
CA1910002,3,1
CA1910003,4,0
CA1910004,4,0
CA1910005,4,0
CA1910006,3,1
CA1910007,4,0
CA1910009,4,0
CA1910010,4,0
CA1910011,4,0
CA1910012,3,1
CA1910013,3,1
CA1910018,4,0
CA1910019,4,0
CA1910020,4,0
CA1910021,4,0
CA1910022,4,0
CA1910023,4,0
CA1910024,4,0
CA1910025,4,0
CA1910026,4,0
CA1910027,4,0
CA1910028,3,1
CA1910029,4,0
CA1910030,4,0
CA1910033,4,0
CA1910034,4,0
CA1910035,4,0
CA1910036,4,0
CA1910038,3,1
CA1910039,4,0
CA1910040,3,1
CA1910042,4,0
CA1910043,4,0
CA1910044,4,0
CA1910046,4,0
CA1910047,4,0
CA1910049,4,0
CA1910050,4,0
CA1910051,4,0
CA1910052,4,0
CA1910053,4,0
CA1910054,3,1
CA1910056,4,0
CA1910059,4,0
CA1910060,4,0
CA1910061,2,2
CA1910062,4,0
CA1910063,4,0
CA1910064,4,0
CA1910065,4,0
CA1910066,4,0
CA1910067,4,0
CA1910070,4,0
CA1910072,4,0
CA1910073,4,0
CA1910075,4,0
CA1910077,4,0
CA1910079,4,0
CA1910081,3,1
CA1910083,3,1
CA1910084,4,0
CA1910085,4,0
CA1910086,3,1
CA1910090,4,0
CA1910091,3,1
CA1910092,4,0
CA1910097,4,0
CA1910098,4,0
CA1910099,4,0
CA1910101,4,0
CA1910102,4,0
CA1910103,2,2
CA1910104,4,0
CA1910105,4,0
CA1910108,4,0
CA1910117,4,0
CA1910124,3,1
CA1910125,4,0
CA1910126,4,0
CA1910127,4,0
CA1910130,4,0
CA1910134,4,0
CA1910137,4,0
CA1910138,4,0
CA1910139,4,0
CA1910140,2,2
CA1910142,3,1
CA1910143,1,3
CA1910144,4,0
CA1910146,4,0
CA1910147,4,0
CA1910148,4,0
CA1910149,4,0
CA1910152,4,0
CA1910153,4,0
CA1910154,2,2
CA1910155,4,0
CA1910156,4,0
CA1910157,3,1
CA1910158,3,1
CA1910159,4,0
CA1910160,4,0
CA1910161,4,0
CA1910163,4,0
CA1910165,4,0
CA1910166,4,0
CA1910167,4,0
CA1910169,3,1
CA1910173,4,0
CA1910174,4,0
CA1910179,4,0
CA1910185,4,0
CA1910186,4,0
CA1910189,4,0
CA1910191,3,1
CA1910194,4,0
CA1910195,4,0
CA1910200,4,0
CA1910203,4,0
CA1910204,4,0
CA1910205,4,0
CA1910211,4,0
CA1910212,4,0
CA1910213,3,1
CA1910218,4,0
CA1910223,4,0
CA1910225,4,0
CA1910234,3,1
CA1910238,4,0
CA1910239,4,0
CA1910240,4,0
CA1910241,4,0
CA1910242,4,0
CA1910243,4,0
CA1910244,3,1
CA1910245,4,0
CA1910246,4,0
CA1910248,4,0
CA1910249,4,0
CA1910254,4,0
CA1910801,3,1
CA2000293,1,3
CA2000501,3,1
CA2000502,4,0
CA2000506,1,3
CA2000509,4,0
CA2000511,2,2
CA2000512,2,2
CA2000521,3,1
CA2000524,3,1
CA2000526,1,3
CA2000527,4,0
CA2000529,4,0
CA2000530,4,0
CA2000533,4,0
CA2000534,4,0
CA2000538,4,0
CA2000544,4,0
CA2000549,2,2
CA2000550,1,3
CA2000551,1,3
CA2000552,1,3
CA2000553,2,2
CA2000554,2,2
CA2000557,1,3
CA2000561,1,3
CA2000573,4,0
CA2000589,4,0
CA2000592,2,2
CA2000593,4,0
CA2000595,4,0
CA2000605,4,0
CA2000608,4,0
CA2000612,4,0
CA2000688,4,0
CA2000690,1,3
CA2000692,2,2
CA2000724,2,2
CA2000727,2,2
CA2000728,2,2
CA2000729,4,0
CA2000737,1,3
CA2000757,1,3
CA2000775,4,0
CA2000800,4,0
CA2000828,4,0
CA2000832,4,0
CA2000849,1,3
CA2000851,1,3
CA2000865,1,3
CA2000866,4,0
CA2010001,3,1
CA2010002,4,0
CA2010003,3,1
CA2010004,4,0
CA2010005,4,0
CA2010006,4,0
CA2010007,4,0
CA2010008,4,0
CA2010009,4,0
CA2010010,4,0
CA2010011,4,0
CA2010012,4,0
CA2010013,4,0
CA2010014,4,0
CA2010015,4,0
CA2010016,4,0
CA2010017,4,0
CA2010800,4,0
CA2010801,4,0
CA2100508,4,0
CA2100519,2,2
CA2100527,3,1
CA2100538,2,2
CA2100545,3,1
CA2100549,2,2
CA2100560,2,2
CA2100565,1,3
CA2100566,3,1
CA2100579,1,3
CA2100582,1,3
CA2100584,3,1
CA2110001,1,3
CA2110002,3,1
CA2110003,3,1
CA2110004,2,2
CA2110005,2,2
CA2110006,3,1
CA2110007,4,0
CA2110008,1,3
CA2110304,3,1
CA2110350,2,2
CA2110502,1,3
CA2210001,4,0
CA2210002,4,0
CA2210003,4,0
CA2210503,4,0
CA2210510,4,0
CA2210515,4,0
CA2210851,4,0
CA2210900,4,0
CA2210901,4,0
CA2210903,4,0
CA2210905,4,0
CA2210906,4,0
CA2210907,4,0
CA2210909,4,0
CA2210910,4,0
CA2210918,3,1
CA2210921,4,0
CA2210924,4,0
CA2210925,4,0
CA2210926,4,0
CA2300502,2,2
CA2300506,4,0
CA2300507,2,2
CA2300514,2,2
CA2300519,1,3
CA2300545,3,1
CA2300584,4,0
CA2300590,3,1
CA2300591,2,2
CA2300596,4,0
CA2300604,4,0
CA2300605,2,2
CA2300606,2,2
CA2300609,4,0
CA2300610,4,0
CA2300634,3,1
CA2300644,2,2
CA2300646,4,0
CA2300663,2,2
CA2300667,4,0
CA2300668,4,0
CA2300705,3,1
CA2300708,2,2
CA2300717,1,3
CA2300730,4,0
CA2300731,3,1
CA2300735,3,1
CA2300743,3,1
CA2300802,2,2
CA2300804,2,2
CA2300829,2,2
CA2300830,2,2
CA2300832,4,0
CA2300838,4,0
CA2300846,4,0
CA2300852,4,0
CA2300863,4,0
CA2300871,1,3
CA2300879,4,0
CA2300892,4,0
CA2300901,4,0
CA2300902,1,3
CA2300906,3,1
CA2310001,2,2
CA2310002,4,0
CA2310003,2,2
CA2310004,4,0
CA2310005,2,2
CA2310006,2,2
CA2310007,4,0
CA2310008,1,3
CA2310009,3,1
CA2310010,3,1
CA2310011,3,1
CA2310012,1,3
CA2310013,2,2
CA2310800,1,3
CA2400011,4,0
CA2400013,4,0
CA2400046,4,0
CA2400053,4,0
CA2400055,4,0
CA2400057,2,2
CA2400062,4,0
CA2400064,4,0
